budget,usbox,rrating
28000000,38372662,0
45000000,38399961,0
40000000,38400000,1
30000000,38432823,0
27000000,38500000,0
75000000,38500000,0
80000000,38577772,0
70000000,38634938,0
35000000,39000000,0
25000000,39053061,0
20000000,39100000,1
20000000,39143839,0
38000000,39177215,0
50000000,39177684,0
20000000,39263506,0
67500000,39394666,1
55000000,39400000,0
25000000,39402572,0
7000000,39464306,1
16000000,39517763,1
35000000,39532308,1
30000000,39568996,1
17500000,39687694,1
35000000,39692139,1
16500000,39868642,0
2500000,40000000,1
85000000,40048332,1
8000000,40066497,0
60000000,40081410,1
25000000,40108697,0
30000000,40118420,0
26000000,40200000,1
30000000,40200000,0
100000000,40202379,0
50000000,40203020,1
22000000,40270895,0
16000000,40363530,0
30000000,40435190,0
60000000,40572825,0
35000000,40687294,0
27000000,40803000,0
115000000,40914068,1
37000000,41000000,1
1800000,41000000,0
7000000,41000000,1
50000000,41083108,0
40000000,41100000,0
11000000,41227069,0
18000000,41300105,1
42000000,41543207,0
20000000,41596251,1
25000000,41675994,0
17000000,41778863,1
78000000,41814863,1
19000000,41867960,1
20000000,41975388,0
38000000,42000000,1
30000000,42000000,1
30000000,42023715,0
75000000,42044321,0
30000000,42100625,0
70000000,42194060,0
75000000,42285169,0
65000000,42300000,1
30000000,42400000,0
27500000,42436517,0
40000000,42600000,1
16000000,42670410,0
21000000,42700000,1
15000000,42734455,0
47500000,42754105,1
112000000,42800000,0
15000000,42900000,0
60000000,43061982,0
32000000,43095856,0
28000000,43107979,0
60000000,43254409,0
80000000,43300000,1
60000000,43337279,0
85000000,43600000,0
75000000,43632458,1
35000000,43792641,0
18000000,43869350,0
35000000,43894863,0
18000000,43900000,0
120000000,43945766,0
27000000,44089964,0
65000000,44114232,0
40000000,44277350,0
30000000,44300000,0
4000000,44585453,1
58000000,44700000,0
15000000,44700000,0
65000000,44800000,0
30000000,44900000,1
36000000,45000000,1
15000000,45064915,1
42000000,45300000,0
26000000,45489752,0
16000000,45500000,0
80000000,45575336,0
20000000,45700000,1
35000000,45802315,1
60000000,46000000,1
40000000,46012734,0
56000000,46213824,0
10000000,46400000,0
100000000,46400000,0
11000000,46566212,1
26000000,46896664,1
50000000,46982632,1
75000000,47000000,0
60000000,47003582,1
25000000,47279279,0
45000000,47300000,1
4800000,47326473,1
75000000,47379090,1
110000000,47398413,1
72500000,47467250,1
25000000,47545060,0
10000000,47566524,1
85000000,47641743,0
15000000,47811275,0
15000000,47860214,0
40000000,47907715,0
40000000,47958031,0
30000000,48000000,1
37000000,48006762,0
3000000,48100000,1
45000000,48114556,0
25000000,48237389,0
12500000,48300000,1
58000000,48318130,0
70000000,48400000,0
100000000,48417850,0
20000000,48430258,0
60000000,48478006,0
20000000,48548426,0
22000000,49000000,0
21500000,49033882,1
14000000,49100000,0
13000000,49121934,0
30000000,49200230,0
100000000,49438370,0
35000000,49492060,0
78000000,49534424,0
30000000,49772522,0
26000000,49900000,1
58000000,49900000,0
110000000,50026353,0
36000000,50200000,1
60000000,50400000,0
5500000,50406346,0
40000000,50572589,0
60000000,50586000,0
45000000,50648679,1
50000000,50740078,1
50000000,50824620,1
40000000,50866635,1
30000000,50980159,1
45000000,51019112,0
25000000,51100486,1
55000000,51225796,0
30000000,51432423,0
19000000,51438175,0
25000000,51500000,1
15000000,51545952,1
25000000,51676606,0
13000000,51733921,0
24000000,51800000,0
57000000,51800000,0
75000000,51855045,1
90000000,51877963,0
40000000,51900000,0
13000000,51900000,1
22000000,51970690,1
40000000,52000000,1
55000000,52075270,0
28000000,52131264,1
40000000,52330111,0
35000000,52333738,0
28000000,52353636,1
65000000,52397389,1
70000000,52500000,0
25000000,52500000,0
21000000,52700000,0
50000000,52752475,1
45000000,52842724,0
30000000,53000000,0
40000000,53089891,0
1000000,53200000,1
84000000,53200000,0
25000000,53300000,0
30000000,53359111,0
45000000,53359917,0
38000000,53400000,0
17000000,53652140,0
60000000,53789313,0
5000000,53900000,1
1500000,54000000,0
25000000,54098051,1
17000000,54200000,1
40000000,54228104,0
15000000,54300000,0
56000000,54500000,0
6500000,54557348,1
25000000,54607383,1
12000000,54700000,1
32000000,54700000,0
65000000,54800000,0
60000000,55100000,0
1200000,55185045,1
83000000,55250026,0
80000000,55700000,0
50000000,55700000,1
55000000,55700000,0
35000000,55800000,1
60000000,56000000,0
20000000,56000000,1
30000000,56068547,0
30000000,56094360,0
19000000,56127162,0
29000000,56330657,1
20000000,56398162,0
15000000,56441711,0
80000000,56684819,0
50000000,56700000,1
17000000,56800000,0
40000000,57000000,0
85000000,57010853,0
100000000,57100000,0
30000000,57139723,0
100000000,57377916,1
53000000,57386369,0
32000000,57700000,0
120000000,57712751,0
40000000,57887882,0
13000000,57924679,1
40000000,58000000,1
17500000,58017783,0
30000000,58156435,0
109000000,58183966,1
90000000,58200000,0
26000000,58328680,1
8000000,58400000,0
64000000,58636047,0
38000000,58700000,0
30000000,58715510,0
100000000,58867694,0
125000000,58900000,0
28000000,58990765,1
45000000,59472278,1
100000000,59475623,0
65000000,59600000,1
60000000,59623958,0
35000000,59700000,0
35000000,59843754,0
8000000,59891098,1
48000000,60000000,0
42000000,60054530,1
18000000,60060328,1
60000000,60100000,1
20000000,60100000,0
37000000,60355347,1
25000000,60400000,0
50000000,60470220,0
130000000,60500000,0
160000000,60674817,0
40000000,60900000,1
46000000,61000000,1
30000000,61100000,0
60000000,61123569,0
30000000,61255921,0
14000000,61356221,0
88000000,61649911,0
110000000,61700000,0
150000000,61900000,1
70000000,62300000,1
45000000,62318875,1
85000000,62400000,0
50200000,62500000,0
42000000,62600000,0
72000000,62647540,1
20000000,62900000,0
150000000,63100000,0
35000000,63100000,1
10000000,63257940,0
85000000,63280000,0
80000000,63313159,0
39000000,63414846,0
135000000,63478838,1
55000000,63500000,0
65000000,63803100,0
28000000,63900000,0
60000000,63939454,0
15000000,64000000,0
130000000,64000000,0
80000000,64038616,0
20000000,64167069,0
5000000,64282312,1
3000000,64400000,1
60000000,64506874,1
12000000,64600000,0
149000000,64665672,0
85000000,64900000,0
120000000,64956806,0
17000000,65000000,0
19000000,65002019,1
30000000,65005217,1
18000000,65070412,0
195000000,65200000,0
209000000,65200000,0
18500000,65233369,1
12000000,65328121,0
100000000,65452312,1
20000000,65600000,0
90000000,65653758,0
80000000,65948711,1
55000000,66207920,1
35000000,66400000,0
70000000,66432867,0
78000000,66465204,0
40000000,66477700,1
25000000,66500000,1
30000000,66500000,1
75000000,66661095,1
50000000,66711892,0
60000000,66723216,0
45000000,66790248,1
40000000,67100000,0
82000000,67172594,0
46000000,67263182,1
45000000,67264877,0
78000000,67286731,0
92000000,67300000,1
20000000,67383924,0
35000000,67500000,1
100000000,67600000,0
55000000,68200000,0
20000000,68261644,0
10000000,68353550,0
90000000,68600000,0
145000000,68671925,0
35000000,68915888,0
20000000,69148997,0
54000000,69951824,0
